"FullName","Length","LastWriteTime"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2021\SYH-2153 Haig Point Way\Owning\HOA\Insurance Declaration.pdf","23649","2/5/2021 1:07:42 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\BYH - 1900 Red Quartz\Owning\22-02-14 NREIG insurance policy.pdf","1115233","2/22/2022 1:29:09 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\BYH - 1900 Red Quartz\Owning\22-07-26 Cancelation Insurance.pdf","339044","7/26/2022 9:09:36 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\BYH-120 Keith Ct\Owning\2021-09-16 EOI for 120 Keith Court.pdf","1152755","10/5/2021 10:59:05 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\BYH-120 Keith Ct\Owning\2021-09-16 Insurance - Proposal.pdf","1661287","10/5/2021 10:59:10 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\BYH-120 Keith Ct\Owning\22-07-26 Cancelation insurance.pdf","1009237","7/26/2022 9:12:16 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\BYH-3007 Eric St\Owning\22-01-27 NREIG Cancelation.pdf","465763","1/27/2022 1:34:27 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\SYH-202 Avery St\Owning\2022 Summary - REInsurePro.pdf","480579","1/30/2023 12:40:48 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\SYH-202 Avery St\Owning\21-08-29 Title Insurance - 202 Avery.pdf","3131745","3/17/2022 1:47:30 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\SYH-202 Avery St\Owning\21-09-17 Insurance - EOI .pdf","1147106","9/20/2021 9:08:01 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2022\SYH-202 Avery St\Owning\22-01-04 MonthlyInventory_REInsurePro.pdf","98447","1/6/2022 3:36:25 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\BYH-164 Churchill Downs Dr\Owning\Mr Cooper\23-05-05 Mortgage Letter Regarding FHA Insurance 64 Churchill Downs.pdf","432090","5/5/2023 4:16:17 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\BYH-164 Churchill Downs Dr\Selling\23-04-21 - Mr Cooper - FHA Insurance Cancellation Notice.pdf","419830","4/28/2023 12:47:18 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\SYH-2608 Alton Pl\22-02-21 NREIG BYH MonthlyInventory_.pdf","105465","2/23/2022 6:58:37 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\SYH-2608 Alton Pl\Buyer\22-04-26 The Title Co - Owner Policy Transmittal.pdf","6275300","3/8/2023 2:57:10 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\SYH-2608 Alton Pl\Buyer\22-11-08 The Title Co- Owner Policy Transmittal.pdf","4796302","10/19/2022 11:26:55 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\SYH-2608 Alton Pl\Owning\2022 Summary - REInsurePro.pdf","480579","1/30/2023 12:40:18 PM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\SYH-2608 Alton Pl\Owning\21-09-10 EOI for Sell Your Home-2608 Alton Place.pdf","4393983","10/1/2021 10:30:31 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\SYH-2608 Alton Pl\Owning\21-10-01 EOI for Sell Your Home-2608 Alton Place.pdf","654752","10/1/2021 10:28:32 AM"
"C:\Users\wesbr\Buy Your Home\Buy Your Home - Property\X_Closed Properties\2023\SYH-2608 Alton Pl\Owning\22-01-04 MonthlyInventory_REInsurePro.pdf","98447","1/6/2022 3:36:43 PM"
